"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"1-Met-His",0.528,7.596,2.557,7.506,3.151,0.716,-0.365,0.988,0.864
"3-IAA",0.565,3.822,2.175,4.524,2.734,0.001,3.317,1.184,0.014
"3-IPA",0.525,8.192,66.387,3.364,31.15,0.234,-1.191,0.411,0.492
"3-Met-His",0.527,12.882,12.363,11.989,13.717,0.419,-0.808,0.931,0.65
"5-AVA",0.53,0.062,0.054,0.064,0.034,0.552,0.595,1.035,0.748
"AA",0.507,1.534,0.623,1.488,0.634,0.387,-0.867,0.97,0.632
"AbsAcid",0.537,0.023,0.016,0.026,0.023,0.054,1.933,1.149,0.217
"Ac-Orn",0.587,30.184,9.762,27.504,8.427,0,-3.56,0.911,0.008
"AconAcid",0.567,1.174,0.468,1.28,0.78,0.06,1.89,1.091,0.231
"ADMA",0.505,0.568,0.081,0.568,0.086,0.953,-0.059,0.999,0.972
"Ala",0.536,495.171,100.425,482.08,103.355,0.127,-1.529,0.974,0.345
"alpha-AAA",0.538,13.03,5.369,12.017,4.156,0.01,-2.585,0.922,0.068
"Anserine",0.555,1.463,0.54,1.346,0.445,0.004,-2.868,0.92,0.036
"Arg",0.503,146.711,27.654,144.869,25.514,0.405,-0.833,0.987,0.642
"Asn",0.505,61.606,11.411,61.203,10.406,0.657,-0.444,0.993,0.833
"Asp",0.513,32.364,11.399,31.28,9.709,0.215,-1.242,0.967,0.464
"BABA",0.57,113.363,31.425,105.598,31.723,0.004,-2.932,0.932,0.034
"beta-Ala",0.511,0.145,0.073,0.151,0.076,0.353,0.929,1.04,0.61
"Betaine",0.652,1.007,0.424,0.804,0.297,0,-6.866,0.798,0
"C0",0.538,45.081,9.091,45.95,9.546,0.269,1.107,1.019,0.521
"C10",0.619,0.309,0.217,0.378,0.26,0.001,3.351,1.221,0.013
"C10:1",0.557,0.39,0.058,0.397,0.06,0.151,1.44,1.018,0.376
"C10:2",0.54,0.081,0.02,0.077,0.015,0.016,-2.406,0.958,0.09
"C12",0.597,0.13,0.043,0.145,0.056,0,3.525,1.115,0.008
"C12-DC",0.605,0.099,0.005,0.098,0.001,0.141,-1.474,0.996,0.362
"C12:1",0.554,0.287,0.031,0.294,0.039,0.038,2.083,1.022,0.17
"C14",0.559,0.056,0.011,0.058,0.011,0.018,2.383,1.04,0.094
"C14:1",0.545,0.099,0.022,0.102,0.024,0.08,1.752,1.035,0.269
"C14:1-OH",0.52,0.029,0.005,0.029,0.005,0.42,-0.806,0.988,0.65
"C14:2",0.564,0.056,0.018,0.06,0.02,0.024,2.262,1.065,0.12
"C14:2-OH",0.528,0.023,0.004,0.023,0.004,0.179,-1.345,0.981,0.419
"C16",0.528,0.128,0.026,0.13,0.027,0.275,1.094,1.019,0.527
"C16-OH",0.506,0.021,0.004,0.021,0.004,0.714,-0.367,0.995,0.864
"C16:1",0.569,0.044,0.01,0.047,0.012,0.004,2.909,1.064,0.035
"C16:1-OH",0.501,0.027,0.005,0.027,0.004,0.826,-0.22,0.997,0.914
"C16:2",0.547,0.027,0.005,0.027,0.006,0.057,1.906,1.032,0.226
"C16:2-OH",0.501,0.024,0.004,0.024,0.004,0.934,-0.083,0.999,0.969
"C18",0.547,0.062,0.014,0.063,0.013,0.171,1.372,1.025,0.409
"C18:1",0.56,0.154,0.037,0.161,0.034,0.038,2.082,1.04,0.17
"C18:1-OH",0.507,0.024,0.004,0.023,0.004,0.69,-0.399,0.994,0.853
"C18:2",0.565,0.072,0.02,0.074,0.017,0.098,1.657,1.034,0.306
"C2",0.527,6.467,2.151,6.635,2.084,0.342,0.951,1.026,0.597
"C3",0.575,0.479,0.103,0.45,0.096,0,-3.508,0.939,0.008
"C3-DC (C4-OH)",0.534,0.16,0.039,0.155,0.037,0.132,-1.507,0.97,0.351
"C3-OH",0.526,0.108,0.016,0.107,0.017,0.291,-1.057,0.986,0.54
"C3:1",0.515,0.11,0.016,0.109,0.018,0.632,-0.48,0.994,0.816
"C4",0.534,0.32,0.076,0.31,0.075,0.116,-1.575,0.969,0.331
"c4-OH-Pro",0.503,0.152,0.072,0.153,0.085,0.826,0.22,1.01,0.914
"C4:1",0.523,0.103,0.023,0.102,0.018,0.289,-1.061,0.983,0.539
"C5",0.512,0.224,0.053,0.222,0.064,0.701,-0.384,0.991,0.853
"C5-DC (C6-OH)",0.512,0.102,0.014,0.103,0.015,0.734,0.34,1.004,0.874
"C5-M-DC",0.529,0.101,0.015,0.102,0.015,0.487,0.696,1.009,0.695
"C5-OH (C3-DC-M)",0.527,0.098,0.014,0.097,0.014,0.184,-1.331,0.984,0.427
"C5:1",0.529,0.092,0.013,0.091,0.014,0.14,-1.477,0.981,0.362
"C5:1-DC",0.502,0.09,0.021,0.09,0.015,0.838,-0.205,0.997,0.92
"C6 (C4:1-DC)",0.574,0.169,0.042,0.178,0.048,0.013,2.503,1.057,0.075
"C6:1",0.523,0.079,0.013,0.077,0.013,0.26,-1.127,0.984,0.512
"C7-DC",0.565,0.08,0.015,0.076,0.015,0.012,-2.534,0.96,0.074
"C8",0.607,0.288,0.182,0.335,0.197,0.004,2.892,1.161,0.035
"C9",0.521,0.056,0.011,0.055,0.011,0.371,-0.896,0.985,0.624
"CA",0.535,11.522,17.941,12.126,12.747,0.632,0.48,1.052,0.816
"Carnosine",0.526,0.176,0.039,0.177,0.034,0.735,0.339,1.006,0.874
"CDCA",0.6,0.163,0.446,0.064,0.183,0,-3.741,0.393,0.005
"CE(14:0)",0.526,18.957,4.128,18.683,4.231,0.435,-0.782,0.986,0.654
"CE(14:1)",0.523,0.557,0.083,0.546,0.083,0.139,-1.483,0.982,0.359
"CE(15:0)",0.514,4.516,1.103,4.441,1.112,0.422,-0.803,0.983,0.652
"CE(15:1)",0.522,0.473,0.133,0.463,0.135,0.369,-0.9,0.979,0.622
"CE(16:0)",0.543,416.212,86.053,400.563,75.559,0.02,-2.337,0.962,0.103
"CE(16:1)",0.509,128.384,51.605,125.189,46.383,0.432,-0.786,0.975,0.654
"CE(17:0)",0.504,4.026,0.781,3.999,0.786,0.677,-0.417,0.993,0.851
"CE(17:1)",0.521,8.006,2.326,7.858,2.322,0.447,-0.762,0.981,0.665
"CE(18:0)",0.519,21.393,4.462,20.97,4.272,0.246,-1.161,0.98,0.505
"CE(18:1)",0.507,768.805,168.806,757.891,166.294,0.437,-0.779,0.986,0.654
"CE(18:2)",0.505,2967.281,679.158,2962.963,682.477,0.94,-0.076,0.999,0.972
"CE(18:3)",0.523,154.378,49.68,149.962,58.091,0.337,-0.96,0.971,0.591
"CE(20:0)",0.615,6.764,54.259,2.057,15.77,0.123,-1.544,0.304,0.341
"CE(20:1)",0.618,3.826,28.257,1.433,9.112,0.137,-1.488,0.374,0.358
"CE(20:3)",0.513,51.279,11.344,51.102,12.489,0.861,-0.176,0.997,0.927
"CE(20:4)",0.513,586.74,160.778,594.585,167.13,0.57,0.569,1.013,0.76
"CE(20:5)",0.585,152.025,93.22,126.718,82.997,0.001,-3.463,0.834,0.009
"CE(22:0)",0.571,0.176,0.05,0.181,0.04,0.246,1.161,1.024,0.505
"CE(22:1)",0.651,0.273,0.229,0.251,0.061,0.092,-1.69,0.921,0.295
"CE(22:2)",0.636,0.356,2.751,0.104,0.743,0.102,-1.638,0.293,0.313
"CE(22:5)",0.519,3.992,0.902,4.097,1.103,0.224,1.219,1.026,0.475
"CE(22:6)",0.554,73.698,26.577,69.587,30.282,0.09,-1.7,0.944,0.292
"Cer(d16:1/18:0)",0.535,0.02,0.007,0.021,0.007,0.128,1.523,1.042,0.346
"Cer(d16:1/20:0)",0.537,0.049,0.012,0.051,0.014,0.069,1.822,1.042,0.254
"Cer(d16:1/22:0)",0.508,0.216,0.07,0.222,0.081,0.376,0.886,1.026,0.625
"Cer(d16:1/23:0)",0.524,0.092,0.033,0.095,0.037,0.257,1.134,1.036,0.511
"Cer(d16:1/24:0)",0.527,0.244,0.078,0.241,0.087,0.602,-0.522,0.985,0.788
