"biomarker","auc","CN_Mean","CN_SD","AD_Mean","AD_SD","pvalues","statistic","foldchange","qvalues"
"SM C18:0",0.521,26.636,5.38,26.962,5.654,0.483,0.701,1.012,0.695
"SM C18:1",0.514,16.689,3.681,16.945,3.699,0.408,0.829,1.015,0.642
"SM C20:2",0.581,1.296,0.46,1.375,0.341,0.017,2.4,1.061,0.09
"SM C24:0",0.577,29.011,6.647,27.054,5.845,0,-3.782,0.933,0.005
"SM C24:1",0.532,55.852,10.414,54.092,10.388,0.044,-2.019,0.969,0.189
"SM C26:0",0.584,0.286,0.053,0.268,0.051,0,-4.074,0.938,0.002
"SM C26:1",0.54,0.555,0.126,0.531,0.114,0.015,-2.438,0.956,0.085
"Spermidine",0.51,0.177,0.074,0.176,0.066,0.835,-0.208,0.993,0.92
"Spermine",0.606,0.626,0.379,0.501,0.405,0,-3.758,0.801,0.005
"Suc",0.673,12.016,0.184,12,0.085,0.149,-1.447,0.999,0.374
"t4-OH-Pro",0.625,0.506,0.475,0.333,0.435,0,-4.559,0.659,0.001
"Taurine",0.554,1.454,0.612,1.365,0.793,0.146,-1.456,0.939,0.372
"TCA",0.548,0.086,0.145,0.105,0.284,0.346,0.943,1.218,0.601
"TCDCA",0.578,0.164,1.357,0.097,1.016,0.493,-0.687,0.592,0.699
"TDCA",0.554,0.004,0,0.004,0.001,0.696,-0.391,0.992,0.853
"TG(14:0_32:2)",0.504,1.758,1.927,1.647,1.49,0.427,-0.796,0.936,0.654
"TG(14:0_34:0)",0.534,2.511,2.907,2.095,2.114,0.044,-2.016,0.834,0.189
"TG(14:0_34:1)",0.519,15.471,15.176,13.979,12.742,0.196,-1.294,0.904,0.444
"TG(14:0_34:2)",0.506,10.744,9.24,10.377,7.993,0.607,-0.515,0.966,0.792
"TG(14:0_34:3)",0.53,2.538,1.953,2.602,1.761,0.681,0.411,1.025,0.853
"TG(14:0_35:1)",0.506,0.398,0.41,0.373,0.314,0.407,-0.83,0.938,0.642
"TG(14:0_35:2)",0.516,0.593,0.477,0.598,0.415,0.894,0.133,1.008,0.95
"TG(14:0_36:1)",0.503,3.354,2.754,3.268,2.516,0.692,-0.396,0.974,0.853
"TG(14:0_36:2)",0.524,16.487,10.769,17.163,10.785,0.455,0.748,1.041,0.671
"TG(14:0_36:3)",0.543,15.757,9.687,16.743,8.947,0.204,1.272,1.063,0.454
"TG(14:0_36:4)",0.549,5.569,3.734,5.936,3.235,0.204,1.272,1.066,0.454
"TG(14:0_38:4)",0.508,0.444,0.283,0.442,0.263,0.921,-0.099,0.995,0.967
"TG(14:0_38:5)",0.504,0.495,0.324,0.473,0.257,0.363,-0.91,0.956,0.618
